Round: 296 | Move: down  | Time spent: 0.62s | Reached depth: 4
Round: 297 | Move: down  | Time spent: 0.80s | Reached depth: 4
Round: 298 | Move: down  | Time spent: 0.80s | Reached depth: 4
Round: 299 | Move: down  | Time spent: 0.65s | Reached depth: 4
Round: 300 | Move: up    | Time spent: 0.57s | Reached depth: 4
Round: 301 | Move: up    | Time spent: 0.37s | Reached depth: 4
Round: 302 | Move: up    | Time spent: 0.53s | Reached depth: 4
Round: 303 | Move: up    | Time spent: 1.92s | Reached depth: 5
Round: 304 | Move: left  | Time spent: 1.87s | Reached depth: 5
Round: 305 | Move: left  | Time spent: 0.34s | Reached depth: 4
Round: 306 | Move: down  | Time spent: 0.73s | Reached depth: 4
Round: 307 | Move: up    | Time spent: 0.46s | Reached depth: 4
Round: 308 | Move: up    | Time spent: 0.75s | Reached depth: 4
Round: 309 | Move: up    | Time spent: 0.42s | Reached depth: 4
Round: 310 | Move: right | Time spent: 0.39s | Reached depth: 4
Round: 311 | Move: right | Time spent: 1.72s | Reached depth: 4
Round: 312 | Move: right | Time spent: 0.65s | Reached depth: 4
Round: 313 | Move: up    | Time spent: 0.36s | Reached depth: 4
Round: 314 | Move: right | Time spent: 0.91s | Reached depth: 4
Round: 315 | Move: up    | Time spent: 0.45s | Reached depth: 4
Round: 316 | Move: up    | Time spent: 0.43s | Reached depth: 4
Round: 317 | Move: up    | Time spent: 1.07s | Reached depth: 4
Round: 318 | Move: right | Time spent: 1.02s | Reached depth: 4
Round: 319 | Move: up    | Time spent: 0.71s | Reached depth: 4
Round: 320 | Move: left  | Time spent: 0.53s | Reached depth: 4
Round: 321 | Move: up    | Time spent: 1.28s | Reached depth: 4
Round: 322 | Move: up    | Time spent: 2.46s | Reached depth: 4
Round: 323 | Move: left  | Time spent: 0.36s | Reached depth: 3
Round: 324 | Move: up    | Time spent: 3.05s | Reached depth: 4
Round: 325 | Move: left  | Time spent: 1.98s | Reached depth: 4
Round: 326 | Move: left  | Time spent: 1.43s | Reached depth: 4
Round: 327 | Move: up    | Time spent: 1.26s | Reached depth: 4
Round: 328 | Move: up    | Time spent: 26.31s | Reached depth: 4
Round: 329 | Move: right | Time spent: 1.64s | Reached depth: 4
Round: 330 | Move: right | Time spent: 1.04s | Reached depth: 4
Round: 331 | Move: right | Time spent: 1.05s | Reached depth: 4
Round: 332 | Move: up    | Time spent: 2.99s | Reached depth: 4
Round: 333 | Move: right | Time spent: 1.55s | Reached depth: 4
Round: 334 | Move: up    | Time spent: 2.43s | Reached depth: 4
Round: 335 | Move: left  | Time spent: 3.30s | Reached depth: 4
Round: 336 | Move: left  | Time spent: 3.52s | Reached depth: 4
Round: 337 | Move: down  | Time spent: 1.45s | Reached depth: 4
Round: 338 | Move: left  | Time spent: 0.97s | Reached depth: 4
Round: 339 | Move: up    | Time spent: 1.01s | Reached depth: 4
Round: 340 | Move: right | Time spent: 0.60s | Reached depth: 4
Round: 341 | Move: down  | Time spent: 1.06s | Reached depth: 4
Round: 342 | Move: down  | Time spent: 0.62s | Reached depth: 4
Round: 343 | Move: left  | Time spent: 0.66s | Reached depth: 4
Round: 344 | Move: left  | Time spent: 0.41s | Reached depth: 4
Round: 345 | Move: down  | Time spent: 0.53s | Reached depth: 4
Round: 346 | Move: left  | Time spent: 2.41s | Reached depth: 5
Round: 347 | Move: down  | Time spent: 0.33s | Reached depth: 4
Round: 348 | Move: down  | Time spent: 0.49s | Reached depth: 4
Round: 349 | Move: right | Time spent: 0.62s | Reached depth: 4
Round: 350 | Move: right | Time spent: 0.47s | Reached depth: 4
Round: 351 | Move: down  | Time spent: 0.58s | Reached depth: 4
Round: 352 | Move: left  | Time spent: 0.61s | Reached depth: 4
Round: 353 | Move: down  | Time spent: 0.77s | Reached depth: 4
Round: 354 | Move: right | Time spent: 0.71s | Reached depth: 4
Round: 355 | Move: left  | Time spent: 1.29s | Reached depth: 4
Round: 356 | Move: down  | Time spent: 2.74s | Reached depth: 4
Round: 357 | Move: down  | Time spent: 2.47s | Reached depth: 4
Round: 358 | Move: left  | Time spent: 1.48s | Reached depth: 4
Round: 359 | Move: left  | Time spent: 2.48s | Reached depth: 4
Round: 360 | Move: right | Time spent: 1.96s | Reached depth: 4
Round: 361 | Move: left  | Time spent: 1.22s | Reached depth: 4
Round: 362 | Move: down  | Time spent: 0.93s | Reached depth: 4
Round: 363 | Move: down  | Time spent: 1.11s | Reached depth: 4
Round: 364 | Move: right | Time spent: 0.79s | Reached depth: 4
Round: 365 | Move: down  | Time spent: 1.03s | Reached depth: 4
Round: 366 | Move: down  | Time spent: 1.06s | Reached depth: 4
Round: 367 | Move: right | Time spent: 1.54s | Reached depth: 4
Round: 368 | Move: left  | Time spent: 1.43s | Reached depth: 4
Round: 369 | Move: down  | Time spent: 1.02s | Reached depth: 4
Round: 370 | Move: right | Time spent: 1.03s | Reached depth: 4
Round: 371 | Move: right | Time spent: 1.11s | Reached depth: 4
Round: 372 | Move: right | Time spent: 0.77s | Reached depth: 4
Round: 373 | Move: right | Time spent: 1.23s | Reached depth: 4
Round: 374 | Move: left  | Time spent: 0.57s | Reached depth: 4
Round: 375 | Move: down  | Time spent: 0.43s | Reached depth: 4
Round: 376 | Move: down  | Time spent: 1.58s | Reached depth: 5
Round: 377 | Move: right | Time spent: 1.74s | Reached depth: 5
Round: 378 | Move: right | Time spent: 1.89s | Reached depth: 5
Round: 379 | Move: right | Time spent: 0.49s | Reached depth: 4
Round: 380 | Move: down  | Time spent: 0.54s | Reached depth: 4
Round: 381 | Move: left  | Time spent: 1.03s | Reached depth: 4
Round: 382 | Move: down  | Time spent: 0.40s | Reached depth: 4
Round: 383 | Move: right | Time spent: 0.63s | Reached depth: 4
Round: 384 | Move: down  | Time spent: 2.02s | Reached depth: 5
Round: 385 | Move: left  | Time spent: 1.99s | Reached depth: 5
Round: 386 | Move: right | Time spent: 0.30s | Reached depth: 4
Round: 387 | Move: down  | Time spent: 0.60s | Reached depth: 4
Round: 388 | Move: down  | Time spent: 0.69s | Reached depth: 4
Round: 389 | Move: right | Time spent: 0.38s | Reached depth: 4
Round: 390 | Move: left  | Time spent: 0.42s | Reached depth: 4
Round: 391 | Move: right | Time spent: 0.49s | Reached depth: 4
Round: 392 | Move: up    | Time spent: 1.47s | Reached depth: 5
Round: 393 | Move: down  | Time spent: 1.07s | Reached depth: 5
Round: 394 | Move: left  | Time spent: 29.13s | Reached depth: 7
Round: 395 | Move: left  | Time spent: 1.11s | Reached depth: 6
Round: 396 | Move: up    | Time spent: 0.66s | Reached depth: 5
Round: 397 | Move: right | Time spent: 0.38s | Reached depth: 4
Round: 398 | Move: down  | Time spent: 0.55s | Reached depth: 4
Round: 399 | Move: down  | Time spent: 2.91s | Reached depth: 5
Round: 400 | Move: down  | Time spent: 1.67s | Reached depth: 5
Round: 401 | Move: right | Time spent: 1.65s | Reached depth: 5
Round: 402 | Move: right | Time spent: 0.36s | Reached depth: 4
Round: 403 | Move: down  | Time spent: 1.37s | Reached depth: 5
Round: 404 | Move: right | Time spent: 1.80s | Reached depth: 5
Round: 405 | Move: right | Time spent: 1.04s | Reached depth: 5
Round: 406 | Move: right | Time spent: 1.19s | Reached depth: 5
Round: 407 | Move: left  | Time spent: 1.06s | Reached depth: 5
Round: 408 | Move: left  | Time spent: 0.52s | Reached depth: 5
Round: 409 | Move: down  | Time spent: 0.68s | Reached depth: 5
Round: 410 | Move: left  | Time spent: 1.51s | Reached depth: 5
Round: 411 | Move: down  | Time spent: 1.61s | Reached depth: 5
Round: 412 | Move: left  | Time spent: 1.54s | Reached depth: 5
Round: 413 | Move: right | Time spent: 1.13s | Reached depth: 5
Round: 414 | Move: down  | Time spent: 0.33s | Reached depth: 4
Round: 415 | Move: right | Time spent: 0.58s | Reached depth: 4
Round: 416 | Move: down  | Time spent: 0.46s | Reached depth: 4
Round: 417 | Move: down  | Time spent: 0.37s | Reached depth: 4
Round: 418 | Move: left  | Time spent: 0.63s | Reached depth: 4
Round: 419 | Move: right | Time spent: 1.20s | Reached depth: 5
Round: 420 | Move: left  | Time spent: 0.75s | Reached depth: 5
Round: 421 | Move: up    | Time spent: 1.14s | Reached depth: 5
Round: 422 | Move: down  | Time spent: 0.62s | Reached depth: 5
Round: 423 | Move: left  | Time spent: 0.46s | Reached depth: 5
Round: 424 | Move: left  | Time spent: 0.31s | Reached depth: 5
Round: 425 | Move: up    | Time spent: 0.39s | Reached depth: 7
Round: 426 | Move: left  | Time spent: 0.67s | Reached depth: 7
Round: 427 | Move: up    | Time spent: 0.67s | Reached depth: 7
