Round: 113 | Move: up    | Time spent: 0.21s | Reached depth: 3 | Max tile: 128 | state: [[2, 2, 4, 2], [0, 2, 8, 32], [0, 0, 128, 64], [0, 0, 0, 4]]
Round: 114 | Move: left  | Time spent: 0.30s | Reached depth: 3 | Max tile: 128 | state: [[2, 4, 4, 2], [2, 0, 8, 32], [0, 0, 128, 64], [0, 0, 0, 4]]
Round: 115 | Move: up    | Time spent: 0.14s | Reached depth: 3 | Max tile: 128 | state: [[2, 8, 2, 0], [2, 8, 32, 2], [128, 64, 0, 0], [4, 0, 0, 0]]
Round: 116 | Move: right | Time spent: 0.48s | Reached depth: 3 | Max tile: 128 | state: [[4, 16, 2, 2], [128, 64, 32, 2], [4, 0, 0, 0], [0, 0, 0, 0]]
Round: 117 | Move: down  | Time spent: 0.06s | Reached depth: 3 | Max tile: 128 | state: [[2, 4, 16, 4], [128, 64, 32, 2], [0, 0, 0, 4], [0, 0, 0, 0]]
Round: 118 | Move: down  | Time spent: 0.08s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 0, 0], [0, 0, 0, 4], [2, 4, 16, 2], [128, 64, 32, 4]]
Round: 119 | Move: left  | Time spent: 0.09s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 0, 0], [0, 2, 0, 4], [2, 4, 16, 2], [128, 64, 32, 4]]
Round: 120 | Move: down  | Time spent: 0.15s | Reached depth: 3 | Max tile: 128 | state: [[2, 0, 0, 0], [2, 4, 2, 0], [2, 4, 16, 2], [128, 64, 32, 4]]
Round: 121 | Move: left  | Time spent: 0.09s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 0, 0], [2, 0, 2, 0], [4, 8, 16, 2], [128, 64, 32, 4]]
Round: 122 | Move: down  | Time spent: 0.22s | Reached depth: 3 | Max tile: 128 | state: [[2, 2, 0, 0], [4, 0, 0, 0], [4, 8, 16, 2], [128, 64, 32, 4]]
Round: 123 | Move: down  | Time spent: 0.16s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 0], [2, 2, 0, 2], [8, 8, 16, 2], [128, 64, 32, 4]]
Round: 124 | Move: right | Time spent: 0.39s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 0, 0], [2, 2, 0, 0], [8, 8, 16, 4], [128, 64, 32, 4]]
Round: 125 | Move: right | Time spent: 1.33s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 2], [2, 0, 0, 4], [0, 16, 16, 4], [128, 64, 32, 4]]
