Round: 195 | Move: up    | Time spent: 0.69s | Reached depth: 3
Round: 196 | Move: up    | Time spent: 0.60s | Reached depth: 3
Round: 197 | Move: up    | Time spent: 6.15s | Reached depth: 4
Round: 198 | Move: right | Time spent: 0.37s | Reached depth: 3
Round: 199 | Move: left  | Time spent: 11.00s | Reached depth: 4
Round: 200 | Move: right | Time spent: 0.48s | Reached depth: 3
Round: 201 | Move: up    | Time spent: 5.95s | Reached depth: 4
Round: 202 | Move: up    | Time spent: 5.33s | Reached depth: 4
Round: 203 | Move: right | Time spent: 0.39s | Reached depth: 3
Round: 204 | Move: left  | Time spent: 0.37s | Reached depth: 3
Round: 205 | Move: right | Time spent: 0.39s | Reached depth: 3
Round: 206 | Move: up    | Time spent: 6.13s | Reached depth: 4
Round: 207 | Move: right | Time spent: 0.39s | Reached depth: 3
Round: 208 | Move: left  | Time spent: 0.35s | Reached depth: 3
Round: 209 | Move: up    | Time spent: 0.35s | Reached depth: 3
Round: 210 | Move: down  | Time spent: 0.30s | Reached depth: 3
Round: 211 | Move: right | Time spent: 0.50s | Reached depth: 3
Round: 212 | Move: left  | Time spent: 0.49s | Reached depth: 3
Round: 213 | Move: down  | Time spent: 0.31s | Reached depth: 3
Round: 214 | Move: left  | Time spent: 2.30s | Reached depth: 4
Round: 215 | Move: right | Time spent: 1.15s | Reached depth: 4
Round: 216 | Move: left  | Time spent: 1.15s | Reached depth: 4
Round: 217 | Move: left  | Time spent: 1.07s | Reached depth: 4
Round: 218 | Move: down  | Time spent: 0.78s | Reached depth: 4
Round: 219 | Move: down  | Time spent: 1.05s | Reached depth: 4
Round: 220 | Move: right | Time spent: 0.36s | Reached depth: 4
Round: 221 | Move: down  | Time spent: 22.35s | Reached depth: 4
Round: 222 | Move: down  | Time spent: 0.33s | Reached depth: 4
Round: 223 | Move: left  | Time spent: 0.72s | Reached depth: 4
Round: 224 | Move: down  | Time spent: 0.51s | Reached depth: 4
Round: 225 | Move: left  | Time spent: 1.63s | Reached depth: 4
Round: 226 | Move: down  | Time spent: 0.95s | Reached depth: 4
Round: 227 | Move: left  | Time spent: 2.17s | Reached depth: 4
