Round: 110 | Move: right | Time spent: 0.16s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 2, 64], [0, 0, 2, 128], [0, 2, 8, 8], [0, 0, 4, 32]]
Round: 111 | Move: right | Time spent: 0.14s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 2, 64], [0, 0, 2, 128], [0, 0, 2, 16], [0, 0, 4, 32]]
Round: 112 | Move: down  | Time spent: 0.23s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 4, 64], [0, 0, 2, 128], [0, 0, 2, 16], [0, 2, 4, 32]]
Round: 113 | Move: right | Time spent: 0.54s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 64], [0, 0, 4, 128], [0, 0, 4, 16], [2, 2, 4, 32]]
Round: 114 | Move: right | Time spent: 0.19s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 64], [0, 0, 4, 128], [0, 0, 4, 16], [2, 4, 4, 32]]
Round: 115 | Move: up    | Time spent: 0.27s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 64], [0, 2, 4, 128], [0, 0, 4, 16], [0, 2, 8, 32]]
Round: 116 | Move: up    | Time spent: 0.26s | Reached depth: 3 | Max tile: 128 | state: [[0, 4, 8, 64], [2, 0, 8, 128], [0, 0, 0, 16], [0, 0, 0, 32]]
Round: 117 | Move: down  | Time spent: 0.62s | Reached depth: 3 | Max tile: 128 | state: [[2, 4, 16, 64], [0, 0, 0, 128], [0, 0, 0, 16], [0, 0, 2, 32]]
Round: 118 | Move: right | Time spent: 0.24s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 64], [0, 0, 2, 128], [0, 0, 16, 16], [2, 4, 2, 32]]
Round: 119 | Move: up    | Time spent: 0.37s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 64], [2, 0, 2, 128], [0, 0, 0, 32], [2, 4, 2, 32]]
Round: 120 | Move: right | Time spent: 0.29s | Reached depth: 3 | Max tile: 128 | state: [[4, 4, 4, 64], [0, 2, 0, 128], [0, 0, 0, 64], [0, 0, 0, 0]]
Round: 121 | Move: left  | Time spent: 1.82s | Reached depth: 3 | Max tile: 128 | state: [[0, 4, 8, 64], [0, 2, 2, 128], [0, 0, 0, 64], [0, 0, 0, 0]]
Round: 122 | Move: up    | Time spent: 0.28s | Reached depth: 3 | Max tile: 128 | state: [[4, 8, 64, 0], [4, 128, 0, 0], [64, 0, 0, 0], [2, 0, 0, 0]]
Round: 123 | Move: right | Time spent: 0.60s | Reached depth: 3 | Max tile: 128 | state: [[8, 8, 64, 0], [64, 128, 0, 0], [2, 0, 0, 2], [0, 0, 0, 0]]
Round: 124 | Move: up    | Time spent: 0.13s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 16, 64], [0, 2, 64, 128], [0, 0, 0, 4], [0, 0, 0, 0]]
Round: 125 | Move: left  | Time spent: 0.45s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 16, 64], [2, 0, 64, 128], [0, 0, 0, 4], [0, 0, 0, 0]]
Round: 126 | Move: right | Time spent: 0.41s | Reached depth: 3 | Max tile: 128 | state: [[2, 16, 64, 0], [2, 64, 128, 0], [4, 0, 2, 0], [0, 0, 0, 0]]
Round: 127 | Move: down  | Time spent: 0.30s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 16, 64], [0, 2, 64, 128], [0, 0, 4, 2], [0, 0, 2, 0]]
Round: 128 | Move: down  | Time spent: 0.08s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 16, 0], [0, 2, 64, 64], [0, 0, 4, 128], [0, 4, 2, 2]]
Round: 129 | Move: down  | Time spent: 0.27s | Reached depth: 3 | Max tile: 128 | state: [[2, 0, 16, 0], [0, 0, 64, 64], [0, 2, 4, 128], [0, 4, 2, 2]]
Round: 130 | Move: down  | Time spent: 0.19s | Reached depth: 3 | Max tile: 128 | state: [[2, 0, 16, 0], [0, 0, 64, 64], [0, 2, 4, 128], [2, 4, 2, 2]]
Round: 131 | Move: down  | Time spent: 0.27s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 16, 0], [2, 0, 64, 64], [0, 2, 4, 128], [4, 4, 2, 2]]
Round: 132 | Move: down  | Time spent: 0.14s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 16, 0], [0, 0, 64, 64], [2, 2, 4, 128], [4, 4, 2, 2]]
Round: 133 | Move: down  | Time spent: 0.13s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 16, 0], [0, 0, 64, 64], [2, 4, 4, 128], [4, 4, 2, 2]]
Round: 134 | Move: down  | Time spent: 0.11s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 16, 0], [0, 2, 64, 64], [2, 2, 4, 128], [4, 8, 2, 2]]
Round: 135 | Move: up    | Time spent: 0.07s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 16, 2], [0, 0, 64, 64], [2, 4, 4, 128], [4, 8, 2, 2]]
Round: 136 | Move: up    | Time spent: 0.03s | Reached depth: 3 | Max tile: 128 | state: [[2, 4, 16, 2], [4, 8, 64, 64], [0, 0, 4, 128], [0, 2, 2, 2]]
Round: 137 | Move: down  | Time spent: 0.03s | Reached depth: 3 | Max tile: 128 | state: [[2, 4, 16, 2], [4, 8, 64, 64], [0, 2, 4, 128], [0, 2, 2, 2]]
Round: 138 | Move: up    | Time spent: 0.03s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 16, 2], [0, 4, 64, 64], [2, 8, 4, 128], [4, 4, 2, 2]]
Round: 139 | Move: up    | Time spent: 0.02s | Reached depth: 3 | Max tile: 128 | state: [[2, 2, 16, 2], [4, 4, 64, 64], [0, 8, 4, 128], [2, 4, 2, 2]]
Round: 140 | Move: up    | Time spent: 0.01s | Reached depth: 3 | Max tile: 128 | state: [[2, 2, 16, 2], [4, 4, 64, 64], [2, 8, 4, 128], [2, 4, 2, 2]]
Round: 141 | Move: up    | Time spent: 0.01s | Reached depth: 3 | Max tile: 128 | state: [[2, 2, 16, 2], [4, 4, 64, 64], [4, 8, 4, 128], [2, 4, 2, 2]]
Round: 142 | Move: right | Time spent: 0.08s | Reached depth: 3 | Max tile: 128 | state: [[2, 2, 16, 2], [8, 4, 64, 64], [2, 8, 4, 128], [4, 4, 2, 2]]
Round: 143 | Move: up    | Time spent: 1.74s | Reached depth: 3 | Max tile: 128 | state: [[4, 4, 16, 2], [0, 8, 4, 128], [2, 8, 4, 128], [0, 0, 8, 4]]
Round: 144 | Move: left  | Time spent: 0.31s | Reached depth: 3 | Max tile: 256 | state: [[4, 4, 16, 2], [2, 16, 8, 256], [0, 0, 8, 4], [0, 2, 0, 0]]
Round: 145 | Move: up    | Time spent: 0.20s | Reached depth: 3 | Max tile: 256 | state: [[8, 16, 2, 0], [2, 16, 8, 256], [8, 4, 2, 0], [2, 0, 0, 0]]
Round: 146 | Move: up    | Time spent: 0.15s | Reached depth: 3 | Max tile: 256 | state: [[8, 32, 2, 256], [2, 4, 8, 0], [8, 0, 2, 0], [2, 2, 0, 0]]
